respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.056230568,0.310432201
26708,0.019877801,0.038381319
26709,0.378096121,0.509437252
26710,0.512139847,0.873641687
26711,0.168799517,0.458841107
26712,0.475216612,0.925602462
26713,0.308730533,0.565801014
26714,0.169652456,0.235365065
26715,0.037695107,0.143182757
26716,0.232281249,0.89621006
26717,0.011754151,0.297204587
26718,0.223678965,0.556271606
26719,0.064448731,0.906818486
26720,0.060122262,0.203155164
26721,0.13761979,0.284844946
26722,0.080765272,0.103494719
26723,0.689650948,0.864276211
26724,0.149610921,0.714024864
26725,0.033092745,0.10563501
26726,0.012937112,0.031800311
26727,0.357242984,0.840880908
26728,0.175097326,0.612052128
26729,0.405690798,0.897931055
26730,0.036955703,0.190599453
26731,0.021774161,0.332130603
26732,0.097379929,0.075546936
26733,0.916708385,0.948014685
26734,0.912179785,0.365486619
26735,0.136893418,0.441979903
26736,0.060397261,0.165488951
26737,0.096305878,0.102637175
26738,0.583872912,0.796434696
26739,0.1350294,0.258651871
26740,0.150643994,0.122059686
26741,0.188312253,0.893386766
26742,0.104249653,0.439575451
26743,0.050054715,0.560677326
26744,0.050846665,0.643362615
26745,0.10111441,0.923846026
26746,0.128054884,0.400048342
26747,0.073525632,0.155787252
26748,0.100855862,0.039765364
26749,0.114611117,0.699425537
26750,0.630529748,0.920624044
26751,0.299029576,0.713370827
26752,0.027540051,0.01998781
26753,0.241245432,0.686850355
26754,0.123399079,0.594031505
26755,0.106424965,0.378336695
26756,0.021746158,0.033140899
26757,0.41140672,0.50690019
26758,0.667725374,0.868106886
26759,0.034113377,0.18847473
26760,0.013207682,0.024961358
26761,0.154888541,0.599136091
26762,0.149275272,0.823939586
26763,0.909718129,0.9696398
26764,0.922659626,0.963578357
26765,0.027458055,0.66268226
26766,0.110772302,0.171831816
26767,0.78162933,0.728412686
26768,0.010156514,0.400400674
26769,0.121720856,0.156030743
26770,0.085622533,0.504144485
26771,0.060652407,0.198492884
26772,0.052455848,0.437639397
26773,0.014883747,0.482570094
26774,0.028563634,0.540079097
26775,0.067461837,0.484170028
26776,0.378699242,0.377847506
26777,0.102264663,0.93589868
26778,0.057638587,0.068679325
26779,0.128141708,0.527246108
26780,0.102971286,0.96265436
26781,0.037855572,0.467369579
26782,0.047003596,0.287084421
26783,0.074586382,0.328291724
26784,0.460822924,0.911362777
26785,0.374573001,0.636781856
26786,0.073378704,0.293613333
26787,0.091050335,0.480404055
26788,0.093233521,0.904672569
26789,0.011795482,0.22796328
26790,0.055287128,0.268348781
26791,0.03093463,0.101208443
26792,0.191526592,0.729874087
26793,0.122033515,0.90306961
26794,0.774062308,0.88735899
26795,0.048998287,0.955055262
26796,0.082500927,0.056616868
26797,0.115412597,0.624551942
26798,0.210648461,0.164382544
26799,0.28620934,0.277735445
26800,0.034182346,0.917034986
26801,0.228947055,0.340594095
26802,0.090844307,0.171181498
26803,0.057100249,0.15259312
26804,0.029740155,0.097493532
26805,0.04118325,0.191223632
26806,0.068430538,0.908753545
26807,0.671658586,0.953696686
26808,0.329805039,0.667038458
26809,0.517758271,0.120412609
26810,0.015394889,0.083544743
26811,0.042667651,0.052807009
26812,0.188690898,0.642772972
26813,0.333034378,0.31300135
26814,0.029294157,0.48500183
26815,0.045356247,0.084104688
26816,0.056440584,0.211307577
26817,0.194356804,0.821416268
26818,0.072502608,0.336936028
26819,0.404163089,0.430101111
26820,0.072522149,0.262493014
26821,0.092615856,0.589348222
26822,0.258126449,0.600076265
26823,0.422479262,0.533104876
26824,0.030548042,0.668487552
26825,0.361291758,0.697498517
26826,0.089989469,0.747065914
26827,0.012853267,0.073506021
26828,0.197546987,0.752565288
26829,0.615132798,0.924096918
26830,0.091836286,0.827597928
26831,0.222285727,0.842312277
26832,0.123425389,0.83797302
26833,0.004968174,0.278644557
26834,0.090708913,0.390749777
26835,0.35463555,0.889391377
26836,0.151642618,0.634258888
26837,0.033346086,0.011098249
26838,0.111569069,0.476758394
26839,0.167548046,0.555889994
26840,0.098285076,0.132379436
26841,0.345212024,0.779946835
26842,0.083275909,0.189148422
26843,0.042272583,0.016314909
26844,0.073741082,0.535249787
26845,0.03897484,0.651203482
26846,0.065967781,0.740515063
26847,0.328783433,0.134862415
26848,0.040225772,0.651297785
26849,0.132191478,0.537424467
26850,0.248710331,0.523726028
26851,0.031460294,0.064442069
26852,0.036365405,0.069518432
